# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-05-18T00:00,77457.67000000,77477.99000000,76707.61000000,76924.65000000,2888.01155000
2026-05-18T04:00,76924.66000000,77089.29000000,76583.33000000,77073.69000000,2702.66726000
2026-05-18T08:00,77073.69000000,77403.48000000,76668.58000000,77285.83000000,2052.55387000
2026-05-18T12:00,77285.83000000,77800.00000000,76051.00000000,76409.46000000,6216.09738000
2026-05-18T16:00,76409.46000000,76995.00000000,76144.24000000,76928.00000000,3295.85681000
2026-05-18T20:00,76928.00000000,77222.79000000,76800.00000000,77001.87000000,1590.32991000
2026-05-19T00:00,77001.88000000,77414.62000000,76487.83000000,76787.11000000,2006.76014000
2026-05-19T04:00,76787.10000000,77278.57000000,76644.98000000,77233.69000000,1508.45954000
2026-05-19T08:00,77233.68000000,77317.02000000,76633.83000000,76714.62000000,1745.68912000
2026-05-19T12:00,76714.61000000,77048.72000000,76144.71000000,76521.23000000,3363.76947000
2026-05-19T16:00,76521.24000000,77065.80000000,76407.72000000,76818.74000000,1634.99916000
2026-05-19T20:00,76818.73000000,77040.83000000,76642.95000000,76834.36000000,765.18235000
2026-05-20T00:00,76834.36000000,76922.46000000,76516.74000000,76723.54000000,1561.80100000
2026-05-20T04:00,76723.55000000,77472.21000000,76692.00000000,77282.64000000,2218.09189000
2026-05-20T08:00,77282.65000000,77663.00000000,77210.33000000,77382.49000000,1682.41191000
2026-05-20T12:00,77382.50000000,77853.04000000,76891.61000000,77455.46000000,3039.76807000
2026-05-20T16:00,77455.45000000,77713.66000000,77018.38000000,77667.49000000,1712.28825000
2026-05-20T20:00,77667.49000000,77766.60000000,77226.61000000,77552.23000000,1081.90195000
2026-05-21T00:00,77552.24000000,78173.15000000,77525.00000000,78078.72000000,2263.95690000
2026-05-21T04:00,78078.72000000,78180.01000000,77521.00000000,77889.01000000,1454.09234000
2026-05-21T08:00,77889.01000000,78200.00000000,77147.15000000,77189.10000000,1934.87402000
2026-05-21T12:00,77189.10000000,77402.12000000,76719.47000000,77259.46000000,2353.90440000
2026-05-21T16:00,77259.45000000,78098.16000000,77008.75000000,77690.56000000,2693.31851000
2026-05-21T20:00,77690.56000000,77813.35000000,77534.43000000,77615.52000000,618.11224000
2026-05-22T00:00,77615.52000000,77817.80000000,77327.28000000,77779.98000000,884.30161000
